number,value,datetime_start,datetime_complete,duration,params_classifier,params_dt_criterion,params_dt_max_depth,params_dt_min_samples_split,params_gb_learning_rate,params_gb_max_depth,params_gb_n_estimators,params_rf_max_depth,params_rf_min_samples_split,params_rf_n_estimators,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_subsample,state
0,0.6120574465596267,2025-09-14 13:55:15.623805,2025-09-14 13:55:23.564451,0 days 00:00:07.940646,RandomForest,,,,,,,2.0,5.0,94.0,,,,,,COMPLETE
1,0.7800455043472903,2025-09-14 13:55:23.571762,2025-09-14 13:56:33.865693,0 days 00:01:10.293931,GradientBoosting,,,,0.029808595153378203,4.0,177.0,,,,,,,,,COMPLETE
2,0.7156085447448997,2025-09-14 13:56:33.872773,2025-09-14 13:56:39.765951,0 days 00:00:05.893178,XGBoost,,,,,,,,,,0.6232699563662158,0.01839604667786414,3.0,259.0,0.7858797722807439,COMPLETE
3,0.8319163527229835,2025-09-14 13:56:39.767984,2025-09-14 13:58:03.029105,0 days 00:01:23.261121,GradientBoosting,,,,0.13267598838243377,7.0,115.0,,,,,,,,,COMPLETE
4,0.7548188532297282,2025-09-14 13:58:03.036691,2025-09-14 13:58:09.079083,0 days 00:00:06.042392,XGBoost,,,,,,,,,,0.7020695060911409,0.012275002637677595,5.0,179.0,0.8550177716091101,COMPLETE
5,0.8132086279671362,2025-09-14 13:58:09.079083,2025-09-14 14:01:04.861390,0 days 00:02:55.782307,GradientBoosting,,,,0.01892809211238114,10.0,116.0,,,,,,,,,COMPLETE
6,0.8393798336091038,2025-09-14 14:01:04.864194,2025-09-14 14:01:11.604459,0 days 00:00:06.740265,RandomForest,,,,,,,26.0,5.0,168.0,,,,,,COMPLETE
7,0.8236958798742379,2025-09-14 14:01:11.608262,2025-09-14 14:03:21.913795,0 days 00:02:10.305533,GradientBoosting,,,,0.03191242656588194,7.0,196.0,,,,,,,,,COMPLETE
8,0.8281366166231953,2025-09-14 14:03:21.916658,2025-09-14 14:03:37.874967,0 days 00:00:15.958309,XGBoost,,,,,,,,,,0.6270047426988006,0.01996824028919011,9.0,255.0,0.8847589352798371,COMPLETE
9,0.8390966369108476,2025-09-14 14:03:37.915936,2025-09-14 14:03:43.696314,0 days 00:00:05.780378,XGBoost,,,,,,,,,,0.6954428981119262,0.17267368518710205,9.0,97.0,0.7941704413508482,COMPLETE
